A 2010 redesign of this item removed the initials “VDB” from its front for the second time.|U.S. penny (or pennies; prompt on "coins" until “coin” is mentioned) |1.1.1/5
During World War Two, these items were subject to a discoloring redox reaction when the chemistry-unaware Henry Morgenthau [[mohr-GEHN-thow]] authorized the addition of zinc to them.|U.S. penny (or pennies; prompt on "coins" until “coin” is mentioned) |1.1.2/5
As a result, one of the most valuable examples of these items is the 1944 “steel wheat” variety.|U.S. penny (or pennies; prompt on "coins" until “coin” is mentioned) |1.1.3/5
Since 2010 these items display a shield reading “e pluribus unum”.|U.S. penny (or pennies; prompt on "coins" until “coin” is mentioned) |1.1.4/5
For ten points, name these coins which show Abraham Lincoln on the front.|U.S. penny (or pennies; prompt on "coins" until “coin” is mentioned) |1.1.5/5
During this campaign, a combined 25 American and British planes crashed, with 101 fatalities overall.|Berlin Airlift (accept Operation Vittles; prompt on nonspecific answers) |1.2.1/4
Gail Halvorsen dropped candy to  awaiting children during this prolonged campaign, becoming known as the "Chocolate Flier".|Berlin Airlift (accept Operation Vittles; prompt on nonspecific answers) |1.2.2/4
After the Deutsche [[DOY -chuh]] Mark was introduced, Soviet troops cut off road and rail access to supply an occupied city, immediately causing this event.|Berlin Airlift (accept Operation Vittles; prompt on nonspecific answers) |1.2.3/4
For ten points, name this aerial campaign led by the United States to provide aid and supplies to the German capital.|Berlin Airlift (accept Operation Vittles; prompt on nonspecific answers) |1.2.4/4
According to Marco Polo, a ruler of this city was locked in his treasure room without food or water for neglecting to spend his gold on the city’s defense.|Baghdad |1.3.1/4
That ruler of this city, Al-Musta’sim [[al-moo-stah-SEEM]], legendarily died after being rolled in a carpet and trampled to death by an invader’s horses.|Baghdad |1.3.2/4
Harun a l-Rashid built a library in this city, which was destroyed in a 1258 siege by Hulagu [[hoo -LAH-goo]] Khan.|Baghdad |1.3.3/4
For ten points, name this city which contained a “House of Wisdom” before becoming the capital of modern-day Iraq.|Baghdad |1.3.4/4
Due to his mon ey struggles, this philosopher was offered fifty years pay in advance by Catherine the Great to serve as her personal librarian.|Denis Diderot [[deh-NEE dih-deh-ROH]] |1.4.1/4
Pope Clement XIII [[the Thirteenth]] banned a compendium written by this man, citing its skepticism of Jesus' miracles.|Denis Diderot [[deh-NEE dih-deh-ROH]] |1.4.2/4
Alongside Jean d'Alembert [[dahl -ehm-BARE]], this man compiled a "systematic dictionary of the sciences, arts, and crafts".|Denis Diderot [[deh-NEE dih-deh-ROH]] |1.4.3/4
The chief editor of the Encyclopédie [[ohn-see-cloh-PEH-dee]] was, for ten points, which French philosopher?|Denis Diderot [[deh-NEE dih-deh-ROH]] |1.4.4/4
An early lyric by this group parodies the nativist views of Enoch Powell and demands that immigrants return to their “commonwealth homes”.|The Beatles |1.5.1/4
This group's members took an ill -fated trip to Rishikesh [[ree -shee-KESH]] for a guided meditatio n course with Maharishi Mahesh Yogi.|The Beatles |1.5.2/4
A member of this group left that course early to film the documentary Raga about his sitar teacher, Ravi Shankar.|The Beatles |1.5.3/4
For ten points, name this influential band of the British Invasion whose songs “Get Back” and “Norwegian Wood” were credited to John Lennon and Paul McCartney.|The Beatles |1.5.4/4
For use on this ship, Louis Casella manufactured a resilient version of a Six's thermometer.|HMS Challenger (accept Challenger Deep[/a]) |1.6.1/4
Charles W. Thomson supervised the team of naturalists aboard this vessel, whose equipment included over 181 miles of hemp rope.|HMS Challenger (accept Challenger Deep[/a]) |1.6.2/4
This vessel, commanded by George Nares and Frank Thomson, became the first to measure the depth of an area at the south end of the Mariana Trench.|HMS Challenger (accept Challenger Deep[/a]) |1.6.3/4
A four -year 1870s oceanographic expedition was undertaken by, for  ten points, what Royal Navy vessel, after which the deepest point in the Marianas Trench was named?|HMS Challenger (accept Challenger Deep[/a]) |1.6.4/4
English physician Thomas Sydenham wrote a 17th century manual advocating for a product containing t his good, laudanum.|Opium poppy (accept Opium Wars; accept Opium Triangle; or Opium Crescent; prompt on "Opiate") |1.7.1/4
Soldiers from the Kuomintang organized what became the "Golden Triangle" for production of this good while operating in Laos, Thailand and Myanmar.|Opium poppy (accept Opium Wars; accept Opium Triangle; or Opium Crescent; prompt on "Opiate") |1.7.2/4
European traders sold this good to circumvent the Canton system, which exclusively requi red silver be spent to acquire goods like tea and porcelain.|Opium poppy (accept Opium Wars; accept Opium Triangle; or Opium Crescent; prompt on "Opiate") |1.7.3/4
The Qing [[CHING]] and British empires fought two wars named for, for ten points, what illicit drug later used to produce heroin?|Opium poppy (accept Opium Wars; accept Opium Triangle; or Opium Crescent; prompt on "Opiate") |1.7.4/4
Under these laws, a high concrete wall was used to divide off the Eight Mile-Wyoming Area.|Jim Crow Laws (prompt on "Racial Segregation" or "Exclusion" before mentioned) |1.8.1/4
Ferris State University contains a memorabilia museum that houses artifacts related to these laws, which created a "ghetto domestic sector".|Jim Crow Laws (prompt on "Racial Segregation" or "Exclusion" before mentioned) |1.8.2/4
These laws were almost circumvented in the 1875 Civil Rights Act, which the Supreme Court ruled unconstitutional.|Jim Crow Laws (prompt on "Racial Segregation" or "Exclusion" before mentioned) |1.8.3/4
Leading to "colored" restrooms being a norm, for ten points, what were these racial segregation laws in the Southern United States?|Jim Crow Laws (prompt on "Racial Segregation" or "Exclusion" before mentioned) |1.8.4/4
The deflection of this element’s particles led to J. J. Thomson’s discovery of atomic isotopes.|Neon (accept Ne before mentioned) |1.9.1/4
It’s not krypton, but British chemist Sir William Ramsay and M orris W. Travers isolated this element in 1898 and named it for the Greek word for “New”.|Neon (accept Ne before mentioned) |1.9.2/4
As a byproduct of air liquefaction, this element was shown by Georges Claude to be able to produce light in sealed tubes.|Neon (accept Ne before mentioned) |1.9.3/4
For ten points, name this element historically used for signs in Las Vegas.|Neon (accept Ne before mentioned) |1.9.4/4
At the behest of Eugene Reybold, a project focused on this river employed a number of Camp Clinton-housed prisoners from the German Afrika Korps.|Mississippi River |1.10.1/4
A series of levees were built along this river in the aftermath of an event that bolstered Huey Long’s gubernatorial campaign and resulted in Herbert Hoover leading a series of relief operations.|Mississippi River |1.10.2/4
That piece of legislation also mandated the creation of the Birds Point -New Madrid Floodway  along this river.|Mississippi River |1.10.3/4
For ten points, name this major American river that experienced a “great” 1927 flood.|Mississippi River |1.10.4/4
Working with General David Canaberro, this general established the Juliana Republic in southern Brazil.|Giuseppe Garibaldi (or Giuseppe Maria Garibaldi) |2.1.5.A.1/4
This man was infuriated by an agreement made at Plombières [[plohm -BEE-air]], which promised to cede his home city of Nice to France.|Giuseppe Garibaldi (or Giuseppe Maria Garibaldi) |2.1.5.A.2/4
This leader of the "Hunters of the Alps" aligned with the Colorados during the Uruguayan Civil War, after which he returned to his home country to lead the Expedition of the Thousand to Sicily.|Giuseppe Garibaldi (or Giuseppe Maria Garibaldi) |2.1.5.A.3/4
